AWARD_NUMBER AWARD_NUMBER AWARD_ID               AWARD_ID               
------------ ------------ ---------------------- ---------------------- 
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001221-00001 000000-00000 6399                   6399                   
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001349-00001 000000-00000 10576                  10576                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001445-00001 000000-00000 13466                  13466                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001565-00001 000000-00000 17574                  17574                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001522-00001 000000-00000 16056                  16056                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001784-00001 000000-00000 25827                  25827                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001750-00001 000000-00000 24130                  24130                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001644-00001 000000-00000 20145                  20145                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
001830-00001 000000-00000 27854                  27854                  
