AWARD_NUMBER AWARD_NUMBER AWARD_ID               AWARD_ID               
------------ ------------ ---------------------- ---------------------- 
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001137-00001 000000-00000 4068                   4068                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001282-00001 000000-00000 8679                   8679                   
001435-00001 000000-00000 13066                  13066                  
001435-00001 000000-00000 13066                  13066                  
001435-00001 000000-00000 13066                  13066                  
001435-00001 000000-00000 13066                  13066                  
001435-00001 000000-00000 13066                  13066                  
001435-00001 000000-00000 13066                  13066                  
001435-00001 000000-00000 13066                  13066                  
